dataset_name,query,scientific_name,rank,target_class,match_type
California Small Animals,ringtail,bassariscus astutus,species,ringtail,species
Nkhotakota Camera Traps,roan,hippotragus equinus,species,roan antelope,species
Snapshot Kruger,roan,hippotragus equinus,species,roan antelope,species
Snapshot Safari 2024 Expansion,roan,hippotragus equinus,species,roan antelope,species
Desert Lion Conservation Camera Traps,procavia capensis,procavia capensis,species,rock hyrax,species
Snapshot Safari 2024 Expansion,rockhyraxdassie,procavia capensis,species,rock hyrax,species
WCS Camera Traps,procavia capensis,procavia capensis,species,rock hyrax,species
Nkhotakota Camera Traps,sable,hippotragus niger,species,sable antelope,species
Snapshot Safari 2024 Expansion,sable,hippotragus niger,species,sable antelope,species
Orinoquia Camera Traps,unknown_squirrel_monkey,saimiri,genus,saimiri species,genus
WCS Camera Traps,saimiri boliviensis,saimiri boliviensis,species,saimiri species,genus
SWG Camera Traps,sambar,rusa unicolor,species,sambar,species
WCS Camera Traps,rusa unicolor,rusa unicolor,species,sambar,species
Biome Health Project Maasai Mara 2018,serval,leptailurus serval,species,serval,species
Nkhotakota Camera Traps,serval,leptailurus serval,species,serval,species
Snapshot Kruger,serval,leptailurus serval,species,serval,species
Snapshot Safari 2024 Expansion,serval,leptailurus serval,species,serval,species
Snapshot Serengeti,serval,leptailurus serval,species,serval,species
WCS Camera Traps,leptailurus serval,leptailurus serval,species,serval,species
Island Conservation Camera Traps,coati,nasua nasua,species,south american coati,species
Orinoquia Camera Traps,south_american_coati,nasua nasua,species,south american coati,species
WCS Camera Traps,nasua nasua,nasua nasua,species,south american coati,species
WCS Camera Traps,tremarctos ornatus,tremarctos ornatus,species,spectacled bear,species
California Small Animals,western spotted skunk,spilogale gracilis,species,spilogale species,genus
Felidae Conservation Fund 2020-2025,spotted skunk,spilogale gracilis,species,spilogale species,genus
Oregon Critters,western spotted skunk,spilogale gracilis,species,spilogale species,genus
WCS Camera Traps,spilogale putorius,spilogale putorius,species,spilogale species,genus
Biome Health Project Maasai Mara 2018,hyena_spotted,crocuta crocuta,species,spotted hyaena,species
Desert Lion Conservation Camera Traps,crocuta crocuta,crocuta crocuta,species,spotted hyaena,species
Nkhotakota Camera Traps,spotted_hyena,crocuta crocuta,species,spotted hyaena,species
Snapshot Enonkishu,hyenaspotted,crocuta crocuta,species,spotted hyaena,species
Snapshot Kgalagadi,hyenaspotted,crocuta crocuta,species,spotted hyaena,species
Snapshot Kruger,hyenaspotted,crocuta crocuta,species,spotted hyaena,species
Snapshot Safari 2024 Expansion,hyenaspotted,crocuta crocuta,species,spotted hyaena,species
Snapshot Serengeti,hyenaspotted,crocuta crocuta,species,spotted hyaena,species
WCS Camera Traps,crocuta crocuta,crocuta crocuta,species,spotted hyaena,species
Desert Lion Conservation Camera Traps,antidorcas marsupialis,antidorcas marsupialis,species,springbok,species
Snapshot Camdeboo,springbok,antidorcas marsupialis,species,springbok,species
Snapshot Karoo,springbok,antidorcas marsupialis,species,springbok,species
Snapshot Mountain Zebra,springbok,antidorcas marsupialis,species,springbok,species
Snapshot Safari 2024 Expansion,springbok,antidorcas marsupialis,species,springbok,species
California Small Animals,ammospermophilus species,ammospermophilus,genus,squirrel family,family
California Small Animals,belding's ground squirrel,urocitellus beldingi beldingi,subspecies,squirrel family,family
California Small Animals,douglas's squirrel,tamiasciurus douglasii,species,squirrel family,family
California Small Animals,long-eared chipmunk,neotamias quadrimaculatus,species,squirrel family,family
California Small Animals,merriam's chipmunk,neotamias merriami merriami,subspecies,squirrel family,family
California Small Animals,mohave ground squirrel,xerospermophilus mohavensis,species,squirrel family,family
California Small Animals,nelson's antelope squirrel,ammospermophilus nelsoni,species,squirrel family,family
California Small Animals,neotamias species,neotamias,genus,squirrel family,family
California Small Animals,otospermophilus species,otospermophilus,genus,squirrel family,family
California Small Animals,round-tailed ground squirrel,xerospermophilus tereticaudus,species,squirrel family,family
California Small Animals,sciuridae family,sciuridae,family,squirrel family,family
California Small Animals,sciurus species,sciurus,genus,squirrel family,family
California Small Animals,sonoma chipmunk,neotamias sonomae,species,squirrel family,family
California Small Animals,white-tailed antelope squirrel,ammospermophilus leucurus,species,squirrel family,family
California Small Animals,yellow-cheeked chipmunk,neotamias ochrogenys,species,squirrel family,family
Caltech Camera Traps,squirrel,sciurus,genus,squirrel family,family
Felidae Conservation Fund 2020-2025,merriam's chipmunk,neotamias merriami,species,squirrel family,family
Felidae Conservation Fund 2020-2025,unknown squirrel,sciuridae,family,squirrel family,family
Idaho Camera Traps,squirrel,sciurus,genus,squirrel family,family
NACTI,unidentified sciurus,sciurus,genus,squirrel family,family
Nkhotakota Camera Traps,squirrel,sciuridae,family,squirrel family,family
Oregon Critters,douglas squirrel,tamiasciurus douglasii,species,squirrel family,family
Oregon Critters,townsend's chipmunk,neotamias townsendii,species,squirrel family,family
Orinoquia Camera Traps,northern_amazon_red_squirrel,sciurus igniventris,species,squirrel family,family
SWG Camera Traps,black_giant_squirrel,ratufa bicolor,species,squirrel family,family
SWG Camera Traps,flying_squirrel,pteromyini,tribe,squirrel family,family
SWG Camera Traps,giant_flying_squirrel,petaurista,genus,squirrel family,family
SWG Camera Traps,pallass_squirrel,callosciurus erythraeus,species,squirrel family,family
SWG Camera Traps,red_cheeked_squirrel,dremomys rufigenis,species,squirrel family,family
SWG Camera Traps,unidentified_squirrel,sciurus,genus,squirrel family,family
SWG Camera Traps,unidentified_striped_squirrel,tamiops,genus,squirrel family,family
Seattle(ish) Camera Traps,squirrel,sciurus,genus,squirrel family,family
Snapshot Mountain Zebra,groundsquirrel,xerus,genus,squirrel family,family
Snapshot Safari 2024 Expansion,groundsquirrel,sciuridae,family,squirrel family,family
Snapshot Safari 2024 Expansion,squirrelground,sciuridae,family,squirrel family,family
Snapshot Safari 2024 Expansion,squirreltree,sciuridae,family,squirrel family,family
WCS Camera Traps,callosciurus erythraeus,callosciurus erythraeus,species,squirrel family,family
WCS Camera Traps,callosciurus notatus,callosciurus notatus,species,squirrel family,family
WCS Camera Traps,dremomys rufigenis,dremomys rufigenis,species,squirrel family,family
WCS Camera Traps,funisciurus carruthersi,funisciurus carruthersi,species,squirrel family,family
WCS Camera Traps,funisciurus pyrropus,funisciurus pyrropus,species,squirrel family,family
WCS Camera Traps,heliosciurus rufobrachium,heliosciurus rufobrachium,species,squirrel family,family
WCS Camera Traps,heliosciurus ruwenzorii,heliosciurus ruwenzorii,species,squirrel family,family
WCS Camera Traps,hylopetes alboniger,hylopetes alboniger,species,squirrel family,family
WCS Camera Traps,lariscus insignis,lariscus insignis,species,squirrel family,family
WCS Camera Traps,microsciurus flaviventer,microsciurus flaviventer,species,squirrel family,family
WCS Camera Traps,microsciurus mimulus,microsciurus mimulus,species,squirrel family,family
WCS Camera Traps,paraxerus boehmi,paraxerus boehmi,species,squirrel family,family
WCS Camera Traps,paraxerus cepapi,paraxerus cepapi,species,squirrel family,family
WCS Camera Traps,paraxerus lucifer,paraxerus lucifer,species,squirrel family,family
WCS Camera Traps,paraxerus ochraceus,paraxerus ochraceus,species,squirrel family,family
WCS Camera Traps,paraxerus vexillarius,paraxerus vexillarius,species,squirrel family,family
WCS Camera Traps,protoxerus stangeri,protoxerus stangeri,species,squirrel family,family
WCS Camera Traps,ratufa bicolor,ratufa bicolor,species,squirrel family,family
WCS Camera Traps,sciurus deppei,sciurus deppei,species,squirrel family,family
WCS Camera Traps,sciurus gramatensis,sciurus granatensis,species,squirrel family,family
WCS Camera Traps,sciurus ignitus,sciurus ignitus,species,squirrel family,family
WCS Camera Traps,sciurus igniventris,sciurus igniventris,species,squirrel family,family
WCS Camera Traps,sciurus sp,sciurus,genus,squirrel family,family
WCS Camera Traps,sciurus spadiceus,sciurus spadiceus,species,squirrel family,family
WCS Camera Traps,sundasciurus hippurus,sundasciurus hippurus,species,squirrel family,family
WCS Camera Traps,unknown squirrel,sciuridae,family,squirrel family,family
WCS Camera Traps,xerus erythropus,euxerus erythropus,species,squirrel family,family
WCS Camera Traps,xerus rutilis,xerus rutilus,species,squirrel family,family
WCS Camera Traps,xerus rutilus,xerus rutilus,species,squirrel family,family
WSU Lynx,marmota caligata,marmota caligata,species,squirrel family,family
Desert Lion Conservation Camera Traps,raphiceros campestris,raphicerus campestris,species,steenbok,species
Snapshot Camdeboo,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Karoo,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Kgalagadi,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Kruger,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Mountain Zebra,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Safari 2024 Expansion,steenbok,raphicerus campestris,species,steenbok,species
Snapshot Serengeti,steenbok,raphicerus campestris,species,steenbok,species
WCS Camera Traps,raphicerus campestris,raphicerus campestris,species,steenbok,species
Biome Health Project Maasai Mara 2018,hyena_striped,hyaena hyaena,species,striped hyaena,species
Snapshot Safari 2024 Expansion,hyenastriped,hyaena hyaena,species,striped hyaena,species
Snapshot Serengeti,hyenastriped,hyaena hyaena,species,striped hyaena,species
WCS Camera Traps,hyaena hyaena,hyaena hyaena,species,striped hyaena,species
California Small Animals,striped skunk,mephitis mephitis,species,striped skunk,species
ENA24,striped skunk,mephitis mephitis,species,striped skunk,species
Felidae Conservation Fund 2020-2025,striped skunk,mephitis mephitis,species,striped skunk,species
NACTI,mephitis mephitis,mephitis mephitis,species,striped skunk,species
Ohio Small Animals,striped_skunk,mephitis mephitis,species,striped skunk,species
Oregon Critters,striped skunk,mephitis mephitis,species,striped skunk,species
WSU Lynx,mephitis mephitis,mephitis mephitis,species,striped skunk,species
SWG Camera Traps,sun_bear,helarctos malayanus,species,sun bear,species
WCS Camera Traps,helarctos malayanus,helarctos malayanus,species,sun bear,species
Orinoquia Camera Traps,tayra,eira barbara,species,tayra,species
Orinoquia Camera Traps,unknown_tayra,eira barbara,species,tayra,species
WCS Camera Traps,eira barbara,eira barbara,species,tayra,species
Biome Health Project Maasai Mara 2018,gazelle_thomsons,eudorcas thomsonii,species,thomson's gazelle,species
Snapshot Enonkishu,gazellethomsons,eudorcas thomsonii,species,thomson's gazelle,species
Snapshot Safari 2024 Expansion,gazellethomsons,eudorcas thomsonii,species,thomson's gazelle,species
Snapshot Serengeti,gazellethomsons,eudorcas thomsonii,species,thomson's gazelle,species
WCS Camera Traps,eudorcas thomsonii,eudorcas thomsonii,species,thomson's gazelle,species
WCS Camera Traps,panthera tigris,panthera tigris,species,tiger,species
Biome Health Project Maasai Mara 2018,vervet_monkey,chlorocebus pygerythrus,species,vervet monkey,species
Nkhotakota Camera Traps,vervet_monkey,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Camdeboo,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Enonkishu,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Karoo,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Kruger,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Mountain Zebra,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Safari 2024 Expansion,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
Snapshot Serengeti,monkeyvervet,chlorocebus pygerythrus,species,vervet monkey,species
WCS Camera Traps,chlorocebus pygerythrus,chlorocebus pygerythrus,species,vervet monkey,species
Biome Health Project Maasai Mara 2018,waterbuck,kobus ellipsiprymnus,species,waterbuck,species
Nkhotakota Camera Traps,common_waterbuck,kobus ellipsiprymnus ellipsiprymnus,subspecies,waterbuck,species
Snapshot Enonkishu,waterbuck,kobus ellipsiprymnus,species,waterbuck,species
Snapshot Kruger,waterbuck,kobus ellipsiprymnus,species,waterbuck,species
Snapshot Safari 2024 Expansion,waterbuck,kobus ellipsiprymnus,species,waterbuck,species
Snapshot Serengeti,waterbuck,kobus ellipsiprymnus,species,waterbuck,species
WCS Camera Traps,kobus ellipsiprymnus,kobus ellipsiprymnus,species,waterbuck,species
California Small Animals,stoat,mustela erminea,species,weasel species,genus
California Small Animals,weasel species,mustela nivalis vulgaris,subspecies,weasel species,genus
Idaho Camera Traps,ermine,mustela erminea,species,weasel species,genus
NACTI,mustela erminea,mustela erminea,species,weasel species,genus
Orinoquia Camera Traps,unknown_weasel,mustela,genus,weasel species,genus
SWG Camera Traps,back_striped_weasel,mustela strigidorsa,species,weasel species,genus
SWG Camera Traps,unidentified_weasel,mustela,genus,weasel species,genus
SWG Camera Traps,yellow_bellied_weasel,mustela kathiah,species,weasel species,genus
Trail Camera Images of New Zealand Animals,ferret,mustela furo,species,weasel species,genus
Trail Camera Images of New Zealand Animals,stoat,mustela erminea,species,weasel species,genus
Trail Camera Images of New Zealand Animals,weasel,mustela nivalis,species,weasel species,genus
WCS Camera Traps,mustela kathiah,mustela kathiah,species,weasel species,genus
WCS Camera Traps,mustela lutreolina,mustela lutreolina,species,weasel species,genus
WCS Camera Traps,mustela strigidorsa,mustela strigidorsa,species,weasel species,genus
California Small Animals,western gray squirrel,sciurus griseus,species,western gray squirrel,species
Felidae Conservation Fund 2020-2025,western grey squirrel,sciurus griseus,species,western gray squirrel,species
Oregon Critters,western gray squirrel,sciurus griseus,species,western gray squirrel,species
Missouri Camera Traps,white-nosed_coati,nasua narica,species,white-nosed coati,species
WCS Camera Traps,nasua narica,nasua narica,species,white-nosed coati,species
ENA24,white_tailed_deer,odocoileus virginianus,species,white-tailed deer,species
Missouri Camera Traps,white_tailed_deer,odocoileus virginianus,species,white-tailed deer,species
NACTI,odocoileus virginianus,odocoileus virginianus,species,white-tailed deer,species
Orinoquia Camera Traps,white-tailed_deer,odocoileus virginianus,species,white-tailed deer,species
Trail Camera Images of New Zealand Animals,white_tailed_deer,odocoileus virginianus,species,white-tailed deer,species
WCS Camera Traps,odocoileus virginianus,odocoileus virginianus,species,white-tailed deer,species
WSU Lynx,odocoileus virginianus,odocoileus virginianus,species,white-tailed deer,species
California Small Animals,wild boar,sus scrofa,species,wild boar,species
Caltech Camera Traps,pig,sus scrofa,species,wild boar,species
Felidae Conservation Fund 2020-2025,wild boar,sus scrofa,species,wild boar,species
Island Conservation Camera Traps,pig,sus scrofa,species,wild boar,species
Missouri Camera Traps,wild_boar,sus scrofa,species,wild boar,species
NACTI,sus scrofa,sus scrofa,species,wild boar,species
SWG Camera Traps,eurasian_wild_pig,sus scrofa,species,wild boar,species
Trail Camera Images of New Zealand Animals,pig,sus scrofa,species,wild boar,species
WCS Camera Traps,sus scrofa,sus scrofa,species,wild boar,species
Wellington Camera Traps,pig,sus scrofa,species,wild boar,species
WCS Camera Traps,felis silvestris,felis silvestris,species,wild cat,species
ENA24,woodchuck,marmota monax,species,woodchuck,species
Ohio Small Animals,woodchuck,marmota monax,species,woodchuck,species
NACTI,marmota flaviventris,marmota flaviventris,species,yellow-bellied marmot,species
WSU Lynx,marmota flaviventris,marmota flaviventris,species,yellow-bellied marmot,species
